x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 6.544489413499832 15280030.829253409 50000.0 0.0 0.0
2 100000 3.8495682179927826 25976939.31818186 50000.0 0.0 0.0
4 100000 2.421971410512924 41288678.952168986 50000.0 0.0 0.0
8 100000 1.5159733593463898 65964219.87462556 50000.0 0.0 0.0
12 99996 2.6716135442256927 37429066.122279145 49992.0 0.0 0.0
16 100000 3.8150832056999207 26211748.108296856 50000.0 0.0 0.0
20 100000 1.7524510622024536 57062934.39904766 50000.0 0.0 0.0
24 99984 2.350347489118576 42540092.67263534 49992.0 0.0 0.0
28 99988 1.8509268760681152 54020502.53460169 49980.0 0.0 0.0
32 100000 2.5073103606700897 39883375.256852746 49984.0 0.0 0.0
36 99972 2.2994540631771088 43476406.68318928 49968.0 0.0 0.0
40 100000 1.9839592278003693 50404261.639424294 50000.0 0.0 0.0
44 99968 5.044665187597275 19816577.767297532 49984.0 0.0 0.0
48 99984 3.0143164098262787 33169709.614446975 49968.0 0.0 0.0
52 99996 4.27570641040802 23387012.671540663 49972.0 0.0 0.0
56 99960 5.535696446895599 18057348.512319032 49952.0 0.0 0.0
60 99960 5.7731762528419495 17314558.853247013 49980.0 0.0 0.0
64 99968 4.364827275276184 22903082.68697174 49984.0 0.0 0.0
