x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 1.2059740722179413 8292052.234264635 0 0 400000
2 10000 1.8387757241725922 5438401.142966893 0 0 1200000
4 10000 92.16263331472874 108503.84413226043 7957060 4702 41591383
6 9996 108.4802258759737 92145.82583399583 7122011 7505 52332661
8 10000 106.29700794816017 94076.02521490431 6069931 10583 57695486
10 10000 96.84559889137745 103257.14451119307 5201785 14483 60863709
12 9996 98.3694426715374 101616.9221714243 4583233 16760 63826843
14 9996 88.03011327981949 113552.05199186695 4029470 17740 65283578
16 10000 86.31214648485184 115858.54838814655 3588426 18407 66458133
18 9990 82.51845240592957 121063.83128535436 3286016 19581 68487202
20 10000 92.90373176336288 107638.30268380627 2973860 21181 69078593
22 9988 83.45579020678997 119680.13214243553 2816713 19111 72026440
24 9984 81.1362661421299 123052.2487010999 2477009 32969 69697364
26 9984 89.2714649438858 111838.64862389943 2304348 29052 70683900
28 9996 95.85967622697353 104277.42293153364 2321427 30156 76399847
30 9990 84.3712717294693 118405.23196132743 2145639 33082 76189308
32 9984 71.79689630866051 139058.9358776457 1967425 38944 75193724
34 9996 80.16063831746578 124699.60581416708 1976488 36002 80065976
36 9972 72.45595417916775 137628.44079509907 1790902 36857 77719765
38 9994 74.06048253178596 134943.76026662643 1800765 44646 82310813
40 10000 64.02753852307796 156182.7961947283 1617272 50417 78998912
42 9996 60.73005869984627 164597.23922554523 1619804 59003 82947106
44 9988 70.07993198931217 142522.9693647999 1622310 65709 86891769
46 9982 60.315972566604614 165495.1346258615 1433995 81897 81881105
48 9984 69.23630759119987 144201.7974001403 1445887 90827 85598051
50 10000 79.96903732419014 125048.39791256386 1444048 83622 89274054
52 9984 63.0453996360302 158362.07015323895 1285510 105487 83050833
54 9990 58.93225260078907 169516.68329518833 1255586 114798 85823713
56 9968 72.17467799782753 138109.37958462437 1258271 92805 87943756
58 9976 76.99226140975952 129571.46364238946 1291495 88682 92480021
60 9960 83.45145247876644 119350.82858544904 1328717 89096 95841788
62 9982 83.43808315694332 119633.6207918907 1310342 93949 99040805
64 9984 89.18687552213669 111944.72215277812 1120042 87539 89716872
