x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 1.1825114488601685 8456577.7436143 0 0 400000
2 10000 0.9826518595218658 10176544.116922298 121189 0 308188
4 10000 0.5049984902143478 19802039.399673205 50254 0 70227
6 9996 0.3290150314569473 30381590.639599726 33358 0 37332
8 10000 0.3177683800458908 31469462.123814337 25000 0 27622
10 10000 1.3186801224946976 7583340.21224333 20001 0 22045
12 9996 0.9336285293102264 10706613.697189758 16661 0 18332
14 9996 0.5150813609361649 19406642.829847664 14280 0 15989
16 10000 0.8395221084356308 11911538.599780349 12500 0 13960
18 9990 0.47874823212623596 20866917.786060553 11104 0 12684
20 10000 0.8047059178352356 12426900.036849873 10023 0 11445
22 9988 0.47977641224861145 20818030.534657463 9102 0 10621
24 9984 0.8094470947980881 12334345.337900622 8346 0 9938
26 9984 1.1549144983291626 8644795.796090575 7694 0 9269
28 9996 0.5801450461149216 17230173.84521436 7161 0 8604
30 9990 0.5797792226076126 17230696.807431314 6676 0 8316
32 9984 0.6436344236135483 15511911.162157798 6257 0 7763
34 9996 0.6905548274517059 14475316.951859368 5900 0 7445
36 9972 1.0498937219381332 9498104.228675079 5549 0 7225
38 9994 2.47955359518528 4030564.219061866 5269 0 7349
40 10000 1.5655916184186935 6387361.73747556 5010 0 6527
42 9996 2.472388744354248 4043053.5136620714 4767 0 6417
44 9988 1.1736385524272919 8510286.220014716 4553 0 6200
46 9982 1.5405084937810898 6479678.651754625 4350 0 5497
48 9984 0.606517493724823 16461190.490458865 4173 0 5772
50 10000 0.5557116121053696 17994945.18769185 4014 0 5739
52 9984 0.7444437593221664 13411355.62623383 3851 0 5970
54 9990 0.4961881786584854 20133490.537822507 3717 0 5598
56 9968 1.4308072626590729 6966696.535685069 3565 0 5149
58 9976 2.416396141052246 4128462.1467967755 3457 0 6481
60 9960 2.583693712949753 3854946.099098125 3320 0 5872
62 9982 2.386369928717613 4182922.3038207344 3230 0 6715
64 9984 1.1786524206399918 8470690.616813757 3124 0 4468
