x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 1.157873123884201 8636524.843459534 0 0 0
2 10000 1.2532088905572891 7979515.685970838 131372 0 366207
4 10000 97.44514748454094 102621.83657309809 7956871 5303 41597819
6 9996 97.30907417833805 102724.2329084373 7140528 4729 55243198
8 10000 81.43807053565979 122792.69307616072 6125947 7899 65296277
10 10000 71.79101556539536 139293.19596949944 5249882 7533 74551378
12 9996 67.37582050263882 148361.8295915001 4688288 11606 85581891
14 9996 61.961859837174416 161325.04779985372 4126521 12771 96407644
16 10000 59.82389412820339 167157.28967040943 3735560 17933 109045751
18 9990 57.927900180220604 172455.75912332258 3424846 19009 123737491
20 10000 54.646896943449974 182993.00709330777 3184960 24263 139341194
22 9988 52.44261845946312 190455.7837385729 3005516 23953 158127761
24 9984 49.75133799016476 200678.01999563744 2706925 28358 173745634
26 9984 47.84938432276249 208654.72233987553 2532084 31154 194523795
28 9996 49.54608604311943 201751.55695044383 2627030 39288 222431432
30 9990 47.68390730023384 209504.64350791593 2424459 39655 244896976
32 9984 45.27163319289684 220535.45003466978 2264836 46521 268310393
34 9996 46.864573284983635 213295.44471074748 2286051 46690 300118823
36 9972 44.63718347251415 223401.19210568853 2139468 48355 325742492
38 9994 45.740530639886856 218493.3112972019 2131085 47488 359924304
40 10000 44.067277014255524 226925.7525661287 1987227 54442 389561439
42 9996 44.45202872157097 224871.62650350085 1962464 52326 425625772
44 9988 44.36148516833782 225150.2618115398 1925555 55025 461333814
46 9982 43.013327568769455 232067.60704669586 1766093 54270 493665405
48 9984 43.64119656383991 228774.66215654847 1790301 59178 535396877
50 10000 45.11856213212013 221638.26876213658 1779997 60383 579041058
52 9984 43.15711259841919 231340.77788989307 1571236 64164 611712960
54 9990 44.314830005168915 225432.43421750143 1567571 58721 657167581
56 9968 47.21280708909035 211129.15360424196 1537062 61311 702022506
58 9976 50.17278753221035 198832.88313601317 1552834 58904 751467935
60 9960 50.848061963915825 195877.671936997 1552857 61159 800774835
62 9982 49.30814504623413 202441.1989264716 1546920 57106 853039692
64 9984 52.8630331158638 188865.43982668064 1355999 55127 894411951
