x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 0.7743947207927704 12913311.172579676 4972.0 0.0 356.0
2 10000 2.099582552909851 4762851.542150992 5170.0 1.3 1574.5
4 10000 3.8100406527519226 2624643.9110241993 6120.4 38.8 8656.6
6 9996 4.255761951208115 2348815.585693735 7446.8 83.8 20802.3
8 10000 5.271864682435989 1896862.0407341837 9725.1 145.6 40564.5
10 10000 6.046180427074432 1653936.7490954457 11915.3 159.6 65345.3
12 9996 6.977170705795288 1432672.4142921213 14656.3 211.6 92448.0
14 9996 9.946488589048386 1004977.777886975 18233.7 290.2 128611.7
16 10000 10.868945717811584 920052.4374330445 23369.8 282.4 175322.0
18 9990 11.695710569620132 854159.3040057991 26348.1 315.0 218702.2
20 10000 12.67690435051918 788836.1167283282 29778.8 341.4 258246.4
22 9988 12.846153974533081 777508.9742658198 37314.4 437.9 360401.5
24 9984 13.405440747737885 744772.2300130088 42937.3 521.3 399185.6
26 9984 14.035475254058838 711340.3585755164 61113.4 781.3 662915.7
28 9996 14.308562129735947 698602.690428718 70307.6 846.6 726987.2
30 9990 15.279610455036163 653812.4796700752 79116.8 899.3 810695.8
32 9984 15.564757585525513 641449.1163861522 83750.9 848.6 894953.0
34 9996 15.78773632645607 633149.6671406494 88227.3 943.1 1034437.5
36 9972 16.013751924037933 622714.7796033497 104345.5 1188.3 1093568.1
38 9994 16.855158656835556 592934.1991656047 120772.4 1294.6 1495873.2
40 10000 16.665753722190857 600032.8678015178 113000.6 1026.6 1277443.5
42 9996 17.494551092386246 571377.9077389606 143147.6 1147.5 1841970.8
44 9988 16.98634624481201 588001.6724050086 123867.0 919.3 1419063.1
46 9982 17.70944818854332 563653.9260696786 154746.4 1122.4 1837643.8
48 9984 17.37893521785736 574488.5906324773 152590.9 1174.3 1704042.9
50 10000 18.147016316652298 551054.7753695284 181400.0 1305.6 2220437.6
52 9984 17.58934035897255 567616.510695754 181305.2 1367.9 1806444.1
54 9990 18.458252400159836 541221.3346867817 201527.5 1481.4 2327243.4
56 9968 17.760364711284637 561249.7356918859 189046.7 1245.4 1937382.9
58 9976 18.817812204360962 530136.0164327762 240474.3 1446.5 2706000.4
60 9960 18.422947078943253 540630.1151124681 223325.0 1273.2 2114287.0
62 9982 18.90900433063507 527896.6478328977 259737.3 1373.5 2793709.1
64 9984 20.09560912847519 496824.94997640135 260522.4 1225.9 2660915.6
