x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 0.8150819689035416 12268704.72113636 0 0 0
2 10000 2.8994236141443253 3448961.356049102 0 0 0
4 10000 8.468189463019371 1180889.9698890836 0 0 0
6 10000 10.793524980545044 926481.3875008076 0 0 0
8 10000 13.23726773262024 755442.9057408329 0 0 0
10 10000 13.665227219462395 731784.3925608294 0 0 0
12 10000 13.242926076054573 755120.1254594084 0 0 0
14 10000 12.668313458561897 789371.0581688746 0 0 0
16 10000 12.376302108168602 807995.7900671966 0 0 0
18 10000 12.280120700597763 814324.2435323317 0 0 0
20 10000 12.444854527711868 803544.9492585283 0 0 0
22 10000 12.942493334412575 772648.64980932 0 0 0
24 10000 13.22173923254013 756330.1487136366 0 0 0
26 10000 13.113212212920189 762589.6567240175 0 0 0
28 10000 13.132008910179138 761498.1126192053 0 0 0
30 10000 13.118821382522583 762263.5988719534 0 0 0
32 10000 13.258358836174011 754241.16390002 0 0 0
34 10000 13.105616346001625 763031.6450588672 0 0 0
36 10000 13.373082876205444 747770.7341358718 0 0 0
38 10000 13.05675022304058 765887.3631781292 0 0 0
40 10000 12.88253515958786 776244.727929772 0 0 0
42 10000 12.960123643279076 771597.5769402361 0 0 0
44 10000 12.965615093708038 771270.774870743 0 0 0
46 10000 13.104865327477455 763075.3731618006 0 0 0
48 10000 12.891583144664764 775699.9189148109 0 0 0
50 10000 13.048623129725456 766364.3819415298 0 0 0
52 10000 13.206720724701881 757190.2373384769 0 0 0
54 10000 13.082189485430717 764398.0398798481 0 0 0
56 10000 13.094671443104744 763669.408846886 0 0 0
58 10000 13.084615021944046 764256.3409950635 0 0 0
60 10000 13.117736205458641 762326.6578450276 0 0 0
62 10000 13.133317604660988 761422.2316873705 0 0 0
64 10000 13.436762988567352 744226.865392244 0 0 0
